id,name,description,school_level,grade_level,semester,chapter_id,chapter_name,chapter_main,chapter_sub,achievement_id,achievement_name,skill_id,section
3945,다항식,한 개 또는 두 개 이상의 항의 합으로 이루어진 식,고등,수학,상,539,다항식의 덧셈과 뺄셈,다항식,다항식의 연산,91,다항식의 사칙연산을 할 수 있다.,453,['문자와 식']
3942,항,수 또는 문자의 곱으로만 이루어진 식,고등,수학,상,539,다항식의 덧셈과 뺄셈,다항식,다항식의 연산,91,다항식의 사칙연산을 할 수 있다.,447,['문자와 식']
2773,다항식의 정리 방법-내림차순,1. 내림차순 : 다항식을 한 문자에 대하여 차수가 높은 항부터 낮은 항의 순서대로 나타내는 것을 내림차순으로 정리한다고 한다.,고등,수학,상,539,다항식의 덧셈과 뺄셈,다항식,다항식의 연산,91,다항식의 사칙연산을 할 수 있다.,449,['문자와 식']
2786,다항식의 덧셈과 뺄셈,다항식의 덧셈과 뺄셈은 다음과 같은 순서로 한다.\n1) 괄호가 있는 경우 괄호를 푼다.\n2) 각 다항식을 한 문자에 대하여 내림차순으로 정리한다.\n3) 동류항끼리 모아서 간단히 한다.,고등,수학,상,539,다항식의 덧셈과 뺄셈,다항식,다항식의 연산,91,다항식의 사칙연산을 할 수 있다.,456,['문자와 식']
2787,다항식의 덧셈에 대한 연산법칙,"수에서와 마찬가지로 다항식 A, B, C에 대하여 다음 법칙이 성립한다.\n1) 교환법칙 : $A+B=B+A$\n2) 결합법칙\n$(A+B)+C=A+(B+C)$",고등,수학,상,539,다항식의 덧셈과 뺄셈,다항식,다항식의 연산,91,다항식의 사칙연산을 할 수 있다.,457,['문자와 식']
3943,상수항,특정한 문자를 포함하지 않는 항,고등,수학,상,539,다항식의 덧셈과 뺄셈,다항식,다항식의 연산,91,다항식의 사칙연산을 할 수 있다.,448,['문자와 식']
3944,계수,항에서 특정한 문자를 제외한 나머지 부분,고등,수학,상,539,다항식의 덧셈과 뺄셈,다항식,다항식의 연산,91,다항식의 사칙연산을 할 수 있다.,451,['문자와 식']
2769,단항식,몇 개의 문자와 수의 곱 또는 몇 개의 문자와 문자의 곱으로 이루어진 식,고등,수학,상,539,다항식의 덧셈과 뺄셈,다항식,다항식의 연산,91,다항식의 사칙연산을 할 수 있다.,452,['문자와 식']
3947,차수,(1) 항의 차수 : 항에서 특정 문자가 곱해진 개수\n(2) 다항식의 차수 : 다항식에서 차수가 가장 높은 항의 차수,고등,수학,상,539,다항식의 덧셈과 뺄셈,다항식,다항식의 연산,91,다항식의 사칙연산을 할 수 있다.,454,['문자와 식']
3948,동류항,특정한 문자에 대한 차수가 같은 항,고등,수학,상,539,다항식의 덧셈과 뺄셈,다항식,다항식의 연산,91,다항식의 사칙연산을 할 수 있다.,455,['문자와 식']
10806,다항식의 정리 방법-오름차순,2. 오름차순 : 다항식을 한 문자에 대하여 차수가 낮은 항부터 높은 항의 순서대로 나타내는 것을 오름차순으로 정리한다고 한다.,고등,수학,상,539,다항식의 덧셈과 뺄셈,다항식,다항식의 연산,91,다항식의 사칙연산을 할 수 있다.,450,['문자와 식']
2792,지수법칙,"a, b 는 실수, m, n은 자연수일 때 다음 법칙이 성립한다.\n1) $a^m\times a^n=a^{m+n}$\n2) $a^m\div a^n=\frac{a^m}{a^n}\begin{cases}{a^{m-n},(m>n)} \\ {1,(m=n)} \\ {\frac{1}{a^{n-m}},(m<n)}\end{cases}$\n3) $(a^m)^n=a^{mn}$\n4) $(ab)^n=a^nb^n$\n5) $(\frac{b}{a})^n=\frac{b^n}{a^n}$(단,$a\ne0$)",고등,수학,상,540,다항식의 곱셈,다항식,다항식의 연산,89,다항식의 곱셈을 할 수있다.,427,['문자와 식']
3957,다항식의 곱셈에 대한 성질,"세 다항식 $A$, $B$, $C$에 대하여\n(1) 교환법칙 : $AB=BA$\n(2) 결합법칙 : $(AB)C=A(BC)$\n(3) 분배법칙 : $A(B+C)=AB+AC$, $(A+B)+C=AC+BC$",고등,수학,상,540,다항식의 곱셈,다항식,다항식의 연산,91,다항식의 사칙연산을 할 수 있다.,463,['문자와 식']
3959,곱셈 공식,"(1) $(a+b)^2=a^2++2ab+b^2$, $(a-b)^2=a^2-2ab+b^2$\n(2) $(a+b)(a-b)=a^2-b^2$\n(3) $(x+a)(x+b)=x^2+(a+b)x+ab$\n(4) $(ax+b)(cx+d)=acx^2+(ad+bc)x+bd$\n(5) $(x+a)(x+b)(x+c)=x^3+(a+b+c)x^2+(ab+bc+ca)x+abc$, $(x-a)(x-b)(x-c)=x^3-(a+b+c)x^2+(ab+bc+ca)x-abc$\n(6) $(a+b+c)^2=a^2+b^2+c^2+2ab+2bc+2ca$\n(7) $(a+b)^3=a^3+3a^2b+3ab^2+b^3$, $(a-b)^3=a^3-3a^2b+3ab^2-b^3$\n(8) $(a+b)(a^2-ab+b^2)=a^3+b^3$, $(a-b)(a^2+ab+b^2)=a^3-b^3$\n(9) $(a+b+c)(a^2+b^2+c^2-ab-bc-ca)=a^3+b^3+c^3-3abc$\n(10) $(a^2+ab+b^2)(a^2-ab+b^2)=a^4+a^2b^2+b^4$",고등,수학,상,540,다항식의 곱셈,다항식,다항식의 연산,91,다항식의 사칙연산을 할 수 있다.,458,['문자와 식']
