id,name,description,school_level,grade_level,semester,chapter_id,chapter_main,chapter_sub,chapter_subsub,achievement_id,achievement_name,skill_id,section
811,합의 법칙,"1. 두 사건 A,B가 동시에 일어나지 않을 때, 사건 A와 사건 B가 일어나는 경우의 수가 각각 m,n이면 사건 A또는 사건 B가 일어나는 경우의 수는 $m+n$\n(1-1) 합의 법칙은 어느 두 사건도 동시에 일어나지 않는 셋 이상의 사건에 대해서도 성립한다. \n(1-2) 두 사건 A, B가 일어나는 경우의 집합을 각각 A, B라고 하면 사건 A와 사건 B가 동시에 일어나는 경우의 집합은  $A\cap B$이므로 $n(A\cup B)=n(A)+n(B)-n(A\cap B)$\n그런데 두 사건 A, B가 동시에 일어나지 않을 때에는 $A\cap B=\varnothing$이므로 $n(A\cup B)=n(A)+n(B)$",고등,확통,전체,626,경우의 수,순열과 조합,여러 가지 순열,272,"합의 법칙과 곱의 법칙을 이해하고, 이를 이용하여 경우의 수를 구할 수 있다.",1383,"['자료, 가능성, 확률과 통계']"
812,곱의 법칙,"1. 두 사건 A, B에 대하여 사건 A가 일어나는 경우의 수가 m이고 그 각각에 대하여 사건 B가 일어나는 경우의 수가 n 일 때, 두 사건  A, B가 동시에 일어나는 경우의 수는 $m\times n$ \n(1-1) 곱의 법칙은 동시에 일어나는 셋 이상의 사건에 대해서도 성립한다.\n(1-2) 두 사건 A, B가 일어나는 경우의 집합을 각각 A, B 하고 하면 집합 A의 원소 각각에 집합 B의 원소를 하나씩 대응시키는 순서쌍의 개수는 $n(A)\times n(B)$",고등,확통,전체,626,경우의 수,순열과 조합,여러 가지 순열,272,"합의 법칙과 곱의 법칙을 이해하고, 이를 이용하여 경우의 수를 구할 수 있다.",1384,"['자료, 가능성, 확률과 통계']"
813,순열,"1. 서로 다른 n 개에서 r$(0<r\leq n)$ 개를 택하여 일렬로 나열하는 것을 n 개에서 r 개를 택하는 순열이라 하고, 이 순열의 수를 기호로 $_nP_r$와 같이 나타낸다.\n2. 순열의 수\n(1)서로 다른 n 개에서 r 개를 택하는 순열의 수는\n$_nP_r=n(n-1)(n-2)\times\cdots\times(n-r+1)$ (단, $0<r\leq n$)\n(2) $n!$을 이용한 순열의 수\n(2-1) $_nP_n=n(n-1)(n-2)\times\cdots\times3\times2\times1=n!$\n(2-2) $_nP_r=\frac{n!}{(n-r)!}$ (단, $0\leq r\leq n$)\n(2-3) $_nP_0=1$, $0!=1$\n3. 1부터 n까지의 자연수를 차례대로 곱한 것을 n의 계승이라 하고, 이것을 기호로 $n!$과 같이 나타낸다.",고등,확통,전체,626,경우의 수,순열과 조합,여러 가지 순열,273,"순열의 의미를 이해하고, 순열의 수를 구할 수 있다",1389,"['자료, 가능성, 확률과 통계']"
814,조합,"1. 서로 다른 n 개에서 순서를 생각하지 않고 r ($0<r\leq n$)개를 택하는 것을 n 개에서 r 개를 택하는 조합이라 하고, 이 조합의 수를 기호로 $_nC_r$와 같이 나타낸다.\n2. 조합의 수\n(1) 서로 다른 n 개에서 r 개를 택하는 조합의 수는 $_nC_r=\frac{_nP_r}{r!}=\frac{n!}{r!(n-r)!}$ (단, $0\leq r\leq n$)\n(2) 조합의 수와 관련된 공식 \n(2-1) $_nC_0=1$, $_nC_n=1$, $_nC_1=n$\n(2-2) $_nC_r=_nC_{n-r}$ (단, $0\leq r\leq n$)\n(2-3) $_nC_r=_{n-1}C_r+_{n-1}C_{r-1}$ (단, $1\leq r\leq n-1$)\n3. (1) $_nP_r=_nC_r\times r!$, 즉 (순열의 수) = (조합의 수) $\times$ (r 개를 일렬로 나열하는 경우의 수)\n(2) 순열은 순서를 생각하여 일렬로 나열한 것이고, 조합은 순서를 생각하지 않고 그 일부를 뽑은 것이다. 예를 들어, 어떤 모임의 대표 2명을 뽑는 경우는 조합이고 회장과 부회장을 뽑는 경우는 순열이다.",고등,확통,전체,626,경우의 수,순열과 조합,여러 가지 순열,274,"조합의 의미를 이해하고, 조합의 수를 구할 수 있다.",1393,"['자료, 가능성, 확률과 통계']"
5505,원순열,서로 다른 것을 원형으로 배열하는 순열을 원순열이라 한다.\n\n원순열의 수\n서로 다른 $n$개를 원형으로 배열하는 원순열의 수는 다음과 같다.\n$\frac{n!}{n}=(n-1)!$\n\nRemark) 원순열에서 회전하여 일치하는 것은 모두 같은 것으로 본다.,고등,확통,전체,626,경우의 수,순열과 조합,여러 가지 순열,275,"원순열을 이해하고, 그 순열의 수를 구할 수 있다",1394,"['자료, 가능성, 확률과 통계']"
5506,다각형의 둘레에 배열하는 경우의 수,1. 정사각형 모양의 탁자에 n명을 앉히는 경우의수는 $(n-1)!\times\frac{n}{4}$\n2. 정사각형이 아닌 직사각형 모양의 탁자에 n명을 앉히는 경우의 수는 $(n-1)!\times\frac{n}{2}$\n3. 정삼각형 모양의 탁자에 n명을 앉히는 경우의 수는 $(n-1)!\times\frac{n}{3}$\n\n일반적으로 서로 다른 $n$개를 다각형으로 배열하는 경우의 수는 다음과 같다.\n$(n-1)!\times(회전시켰을 때 겹치지 않는 자리의 수)$,고등,확통,전체,626,경우의 수,순열과 조합,여러 가지 순열,275,"원순열을 이해하고, 그 순열의 수를 구할 수 있다",1395,"['자료, 가능성, 확률과 통계']"
5507,중복순열,"(1) 중복순열\n서로 다른 n개에서 중복을 허용하여 r개를 택하는 순열을 중복순열이라 하고, 이 중복순열의 수를 기호로 $_n\Pi_r$와 같이 나타낸다.\n(2) 중복순열의 수\n서로 다른 n개에서 r개를 택하는 중복순열의 수는 $_n\Pi_r=n\times n\times n\times\cdots\times n=n^r$\n(3) 중복순열인 경우\n(3-1) 중복을 허용하여 만드는 정수의 개수 문제\n(3-2) 기명 투표 문제\n(3-3) 모스 부호 문제\n(3-4) 깃발 신호 문제\n(3-5) 우체통 문제\n(3-6) 반 편성 문제\n(3-7) 함수의 개수 문제\n(3-8) 호텔 투숙 문제\n(4) $_n\Pi_r$의 $_{\placeholder{}}\Pi_{\placeholder{}}$는 곱을 뜻하는 Product의 첫 글자 P에 해당하는 그리스 문자로 '파이'라 읽는다.\n(5) '서로 다른', '중복 불허'의 뜻이 있으면 순열(중복순열이 아닌 순열)이고, '중복 불허'의 뜻이 없으면 무조건 중복순열이다.\n(6) $_nP_r$에서는 반드시 $n\geq r$이어야 하지만, $_n\Pi_r$에서는 중복하여 택할 수 있기 때문에 $n<r$일 수도 있다.\n",고등,확통,전체,626,경우의 수,순열과 조합,여러 가지 순열,276,"중복순열을 이해하고, 그 순열의 수를 구할 수 있다.",1396,"['자료, 가능성, 확률과 통계']"
818,중복순열과 함수,"1. 정의역의 서로 다른 두 원소에 공역의 같은 원소가 대응되어도 되므로 공역의 원소를 중복하여 택할 수 있기 때문이다. 따라서 함수의 개수는 중복순열의 수와 같다.\n2. 두 집합 X, Y에 대하여\n $n(X)=r,n(Y)=n$일 때,\nX에서 Y로의 일대일 함수의 개수는 $_nP_r$(순열의 수) (단, $n\geq r$)",고등,확통,전체,626,경우의 수,순열과 조합,여러 가지 순열,276,"중복순열을 이해하고, 그 순열의 수를 구할 수 있다.",1397,"['자료, 가능성, 확률과 통계']"
5510,중복조합,"중복을 허용하여 만든 조합을 중복조합이라 하고, 서로 다른 $n$개에서 중복을 허용하여 $r$개를 택하는 중복조합의 수를 기호로 $_nH_r$와 같이 나타낸다.\n\n서로 다른 $n$개에서 $r$개를 택하는 중복조합의 수는 다음과 같다.\n$_nH_r=_{n+r-1}C_r$\n\nRemark) $_nC_r$에서는 $0\le r\le n$이어야 하지만 $_nH_r$에서는 중복하여 택할 수 있기 때문에 $r>n$일 수도 있다.",고등,확통,전체,627,경우의 수,순열과 조합,중복조합,278,"중복조합을 이해하고, 중복조합의 수를 구할 수 있다.",1401,"['자료, 가능성, 확률과 통계']"
5533,"순열, 중복순열, 조합, 중복조합의 비교",서로 다른 $n$개의 문자 중에서 $r$개의 문자를 택하는 경우의 수를 비교\n\n1) 순서를 생각하고 서로 다른 $r$개의 문자를 택하는 경우\n순열 : $_nP_r$\n\n2) 순서를 생각하고 중복을 허용하여 $r$개의 문자를 택하는 경우\n중복순열 : $_n\Pi_r=n^r$\n\n3) 순서를 생각하지 않고 서로 다른 $r$개의 문자를 택하는 경우\n조합 : $_nC_r$\n\n4) 순서를 생각하지 않고 중복을 이용하여 $r$개읭 문자를 택하는 경우\n중복조합 : $_n\Pi_r=_{n+r-1}C_r$,고등,확통,전체,627,경우의 수,순열과 조합,중복조합,278,"중복조합을 이해하고, 중복조합의 수를 구할 수 있다.",1402,"['자료, 가능성, 확률과 통계']"
