id,name,description,school_level,grade_level,semester,chapter_id,chapter_main,chapter_sub,chapter_subsub,achievement_id,achievement_name,skill_id,section
116,거듭제곱,같은 수나 같은 문자를 거듭해서 곱한 것을 간단히 나타낸 것\n이때 거듭해서 곱한 수가 2개 이상인 경우도 같은 수끼리는 거듭제곱으로 나타낼 수 있다.,중등,중1,1학기,434,수와연산,소인수분해,소인수분해,32,"소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다.",99,['수와 연산']
117,소인수분해를 이용하여 약수 구하기(1),"거듭제곱꼴 $a^n$(a는 소수, n은 자연수)으로 소인수분해 될 때\n1.$a^n$의 약수 : $1, a, a^2, \cdots, a^n$\n2.$a^n$의 약수의 개수 : $(n+1)$개",중등,중1,1학기,434,수와연산,소인수분해,소인수분해,32,"소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다.",105,['수와 연산']
4700,밑,밑은 거듭제곱에서 곱하는 수이다.,중등,중1,1학기,434,수와연산,소인수분해,소인수분해,32,"소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다.",100,['수와 연산']
3793,소인수분해,"소인수분해는 1보다 큰 자연수를 그 수의 소인수만의 곱으로 나타내는 것이다.\n방법(1) : 나누어 떨어지는 소수로 나눈다. 이때 몫이 소수가 될 때까지 나눈다.\n방법(2) : 나눈 소수들과 마지막 몫을 곱셈 기호 $\times$로 연결한다. 이 때 소인수분해한 결과는 보통 크기가 작은 소인수부터 차례로 쓰고, 같은 소인수의 곱은 거듭제곱으로 나타낸다.",중등,중1,1학기,434,수와 연산,소인수분해,소인수분해,32,"소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다.",103,['수와 연산']
3794,소인수분해를 이용하여 약수 구하기(2),"자연수 A가$A=a^m\times b^n$(a,b는 서로 다른 소수, n, m은 자연수)으로 소인수분해 될 때\n1.A의 약수 : $(a^m의 약수)\times(b^n의 약수)$\n2.A의 약수의 개수 : $(m+1)\times(n+1)$개",중등,중1,1학기,434,수와 연산,소인수분해,소인수분해,32,"소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다.",106,['수와 연산']
8790,지수,지수는 거듭제곱에서 곱해진 수의 개수이다.,중등,중1,1학기,434,수와연산,소인수분해,소인수분해,32,"소인수분해의 뜻을 알고,자연수를 소인수분해 할 수 있다.",101,['수와 연산']
8791,인수,"자연수 a가 자연수 b와 c의 곱으로 나타내어질 때, 즉 $a=b\times c$일 때, b,c를 a의 인수라 한다.",중등,중1,1학기,434,수와연산,소인수분해,소인수분해,32,"소인수분해의 뜻을 알고,자연수를 소인수분해 할 수 있다.",104,['수와 연산']
3820,최대공약수의 활용,다음과 같은 문제는 대부분 최대공약수를 이용하면 쉽게 해결할 수 있다.\n(1) 일정한 양을 가능한 한 많은 사람에게 똑같이 나누어 주는 문제\n(2) 직사각형을 가장 큰 정사각형 또는 가장 적은 수의 정사각형으로 빈틈없이 채우는 문제\n(3) 몇 개의 자연수를 동시에 나누어떨어지게 하는 가장 큰 자연수를 구하는 문제,중등,중1,1학기,435,수와 연산,소인수분해,최대공약수,33,"최대공약수와 최소공배수의 성질을 이해하고, 이를 구할 수 있다.",109,['수와 연산']
3795,공약수와 최대공약수,(1)공약수: 두개 이상의 자연수의 공통인 약수\n(2)최대공약수: 공약수 중에서 가장 큰 수\n(3)최대공약수의 성질: 두 개 이상의 자연수의 공약수는 최대공약수의 약수이다.\n(4)서로소: 최대공약수가 1인 두 자연수,중등,중1,1학기,435,수와 연산,소인수분해,최대공약수,33,"최대공약수와 최소공배수의 성질을 이해하고, 이를 구할 수 있다.",107,['수와 연산']
3798,최대공약수 구하는 방법,1.소인수분해를 이용하는 방법\n  (1) 각 수를 소인수분해한다.\n  (2) 공통인 소인수의 거듭제곱에서 지수가 작거나 같은 것을 택하여 곱한다.\n2.공약수로 나누어 구하는 방법\n  (1) 1 이외의 공약수로 각 수를 나눈다.\n  (2) 몫에 1 이외의 공약수가 없을 때(서로소)까지 공약수로 계속 나눈다.\n  (3) 나누어 준 공약수를 모두 곱한다.,중등,중1,1학기,435,수와 연산,소인수분해,최대공약수,33,"최대공약수와 최소공배수의 성질을 이해하고, 이를 구할 수 있다.",108,['수와 연산']
3804,공배수와 최소공배수,(1)공배수: 두 개 이상의 자연수의 공통인 배수\n(2)최소공배수: 공배수 중에서 가장 작은 수\n(3)최소공배수의 성질: 두 개 이상의 자연수의 공배수는 최소공배수의 배수이다.\n(4)서로소인 두 자연수의 최소공배수는 두 자연수를 곱한 수이다.,중등,중1,1학기,436,수와 연산,소인수분해,최소공배수,33,"최대공약수와 최소공배수의 성질을 이해하고, 이를 구할 수 있다.",110,['수와 연산']
