id,name,description,school_level,grade_level,semester,chapter_id,chapter_name,chapter_main,chapter_sub,achievement_id,achievement_name,skill_id,section
7271,만,1.1000이 10개인 수\n쓰기: 10000 또는 1만\n읽기: 만 또는 일만\n\n2.10000의 크기\n-9999보다 1 큰 수이다.\n-9990보다 10 큰 수이다.\n-9900보다 100 큰 수 입니다.\n-9000보다 1000 큰 수 입니다.,초등,초4,1학기,221,1000이 10개인 수를 알아볼까요,,큰 수,10,10000 이상의 큰 수를 읽고 쓸 수 있다.,40,['수와 연산']
7268,다섯 자릿수,"1.다섯 자릿수 알아보기\n10000이 2개, 1000이 3개, 100이 8개, 10이 6개, 1이 4개인 수- 쓰기: 23864, 읽기: 이만 삼천팔백육십사\n\n2. 23864위 각 자리 숫자와 자릿값 알아보기\n-만의 자리: 2, 천의 자리: 3, 백의 자리: 8, 십의 자리: 6, 일의 자리: 4",초등,초4,1학기,222,다섯 자릿수를 알아볼까요,,큰 수,10,10000 이상의 큰 수를 읽고 쓸 수 있다.,41,['수와 연산']
7305,"십만, 백만, 천만","$100000$ : $10$만, 십만, \n$10000$이 $10$개인 수\n\n$1000000$ : $100$만, 백만, $10000$이 $100$개인 수\n\n$10000000$ : $1000$만, 천만, $10000$이 $1000$개인 수",초등,초4,1학기,223,"십만, 백만, 천만을 알아볼까요",,큰 수,11,10000 이상의 큰 수에 대한 자릿값과 위치적 기수법을 원리를 이해한다.,42,['수와 연산']
11269,천만 단위까지의 수 알아보기,"10000이 1365개인 수- 쓰기: 13560000또는 1356만, 읽기: 천삼백오십육만\n\n13560000의 각 자리의 숫자와 자릿값 알아보기\n$13560000=10000000+3000000+500000+60000$",초등,초4,1학기,223,"십만, 백만, 천만을 알아볼까요",,큰 수,11,10000 이상의 큰 수에 대한 자릿값과 위치적 기수법을 원리를 이해한다.,43,['수와 연산']
2047,억,$1000$만이 $10$개인 수.\n$100000000$ 또는 $1$억이라 쓴다.\n억 또는 일억이라 읽는다.,초등,초4,1학기,224,억과 조를 알아볼까요,,큰 수,11,10000 이상의 큰 수에 대한 자릿값과 위치적 기수법을 원리를 이해한다.,44,['수와 연산']
2048,조,$1000$억이 $10$개인 수.\n$1000000000000$ 또는 $1$조라 쓴다.\n조 또는 일조라 읽는다.,초등,초4,1학기,224,억과 조를 알아볼까요,,큰 수,11,10000 이상의 큰 수에 대한 자릿값과 위치적 기수법을 원리를 이해한다.,46,['수와 연산']
11270,천억 단위까지의 수 알아보기,1억이 7365개인 수\n- 쓰기: 736500000000또는 7365억\n- 읽기: 칠천삼백육십오억\n\n736500000000의 각 자리의 숫자와 자릿값 알아보기\n$736500000000=700000000000+30000000000+6000000000+500000000$,초등,초4,1학기,224,억과 조를 알아볼까요,,큰 수,11,10000 이상의 큰 수에 대한 자릿값과 위치적 기수법을 원리를 이해한다.,45,['수와 연산']
11271,천조 단위까지의 수 알아보기,1조가 2761개인 수\n- 쓰기: 2761000000000000 또는 2761조\n- 읽기: 이천칠백육십일조\n\n2761000000000000의 각 자리의 숫자와 자릿값 알아보기\n$2761조=2000조+700조+60조+1조$,초등,초4,1학기,224,억과 조를 알아볼까요,,큰 수,11,10000 이상의 큰 수에 대한 자릿값과 위치적 기수법을 원리를 이해한다.,47,['수와 연산']
2049,뛰어 세기,#씩 뛰어세기 하면 #의 자릿수가 1씩 커집니다.,초등,초4,1학기,225,뛰어 세기를 해 볼까요,,큰 수,12,다섯 자리 이상의 수의범위에서 수의 계열을 이해한다.,48,['수와 연산']
2050,수의 크기 비교,자릿수가 같은지 다른지 비교합니다.\n-자릿수가 다른 경우: 자릿수가 많은 쪽이 더 큽니다.\n-자릿수가 같은 경우: 가장 높은 자리의 수부터 차례로 비교하여 수가 큰 쪽이 더 큽니다.,초등,초4,1학기,226,수의 크기를 비교해 볼까요,,큰 수,13,다섯 자리 이상의 수의 크기를 비교할 수 있다.,49,['수와 연산']
